iter	RMSE
0	11.46665255
1	11.24065086
2	11.00554398
3	10.78286615
4	10.55847285
5	10.3618
6	10.15729137
7	9.974038913
8	9.79258409
9	9.589933415
10	9.390873445
11	9.209562555
12	9.019299949
13	8.846924366
14	8.671563117
15	8.517811772
16	8.370212315
17	8.210169998
18	8.052392629
19	7.893029569
20	7.739280137
21	7.615673576
22	7.511796185
23	7.37812177
24	7.23308903
25	7.090664858
26	6.963989513
27	6.831397936
28	6.708139417
29	6.579521826
30	6.471217728
31	6.348568824
32	6.246334265
33	6.154859754
34	6.04820135
35	5.946663891
36	5.843573588
37	5.756188895
38	5.667873053
39	5.579592181
40	5.497891389
41	5.414688281
42	5.322618806
43	5.254481471
44	5.168362319
45	5.087672732
46	4.999479365
47	4.912556117
48	4.844154156
49	4.76936152
50	4.707614145
51	4.648370642
52	4.569995703
53	4.506907969
54	4.438420474
55	4.369615384
56	4.312658451
57	4.24366959
58	4.181109963
59	4.120958244
60	4.068837032
61	4.010897332
62	3.954110291
63	3.893122504
64	3.853594767
65	3.794198604
66	3.741759211
67	3.688215032
68	3.646116674
69	3.593291584
70	3.53961604
71	3.493726766
72	3.455688575
73	3.414229599
74	3.364117207
75	3.319405073
76	3.286432381
77	3.239825741
78	3.205362183
79	3.165063737
80	3.125452345
81	3.092558156
82	3.057408424
83	3.014715771
84	2.980211119
85	2.948317714
86	2.914919479
87	2.873407874
88	2.834445236
89	2.799795854
90	2.771297301
91	2.740951906
92	2.712663089
93	2.68471103
94	2.657605301
95	2.626348432
96	2.59261979
97	2.565330648
98	2.541395956
99	2.514149159
100	2.496624836
101	2.475243013
102	2.451159705
103	2.425591303
104	2.406459265
105	2.378099567
106	2.36060224
107	2.338912861
108	2.312362751
109	2.2943734
110	2.278408348
111	2.263253261
112	2.248121343
113	2.224309496
114	2.207156581
115	2.185643538
116	2.166663562
117	2.142012528
118	2.121832694
119	2.104205888
120	2.081470539
121	2.05877654
122	2.044848624
123	2.023467267
124	2.002592203
125	1.990015243
126	1.975403008
127	1.959254358
128	1.940256933
129	1.9262628
130	1.909973831
131	1.897326531
132	1.886365296
133	1.869365678
134	1.854951642
135	1.84180827
136	1.823104987
137	1.808104123
138	1.792539278
139	1.779486625
140	1.765774621
141	1.752949391
142	1.739318004
143	1.726562717
144	1.714150687
145	1.703592596
146	1.687945154
147	1.677110345
148	1.666689056
149	1.654782964
150	1.646180434
151	1.634720759
152	1.618779026
153	1.611196527
154	1.59797554
155	1.584537165
156	1.576676297
157	1.56533636
158	1.554947404
159	1.548096622
160	1.531705421
161	1.518031292
162	1.510855008
163	1.503645581
164	1.490479608
165	1.475648858
166	1.465959521
167	1.459178239
168	1.450266222
169	1.440216578
170	1.433824899
171	1.427683872
172	1.41717784
173	1.409094297
174	1.398689297
175	1.390969709
176	1.386919782
177	1.375224071
178	1.368109214
179	1.357135121
180	1.348906396
181	1.34081032
182	1.335889902
183	1.330755548
184	1.321082626
185	1.308651679
186	1.303364032
187	1.29863941
188	1.293336173
189	1.288284871
190	1.284078736
191	1.276838747
192	1.271441084
193	1.2658811
194	1.259050964
195	1.253906103
196	1.245855238
197	1.238724857
198	1.230385342
199	1.2245429
200	1.219751075
201	1.216184873
202	1.208270647
203	1.202481509
204	1.199500213
205	1.194818662
206	1.18720402
207	1.182482764
208	1.174691704
209	1.171276829
210	1.167411548
211	1.162259779
212	1.154192145
213	1.14625482
214	1.142188101
215	1.137516669
216	1.134932167
217	1.13048882
218	1.121481817
219	1.117682657
220	1.113106922
221	1.106690288
222	1.102931685
223	1.099568234
224	1.094162583
225	1.085808095
226	1.082084255
227	1.076022535
228	1.070135413
229	1.06660708
230	1.062899138
231	1.058955343
232	1.054752147
233	1.049463176
234	1.045607574
235	1.040639146
236	1.03517394
237	1.029892118
238	1.021663277
239	1.017325695
240	1.01235941
241	1.009552268
242	1.005392599
243	1.002073639
244	0.9968309494
245	0.9938152681
246	0.9905672694
247	0.9841534168
248	0.9818400447
249	0.9782111832
250	0.9745360315
251	0.9696623845
252	0.9651447244
253	0.9583720427
254	0.9558936877
255	0.9527337209
256	0.9492866252
257	0.943086486
258	0.9405118903
259	0.9383634555
260	0.9311545869
261	0.9267855609
262	0.9227006888
263	0.9199435765
264	0.9170954728
265	0.9142861664
266	0.9098185169
267	0.9074077352
268	0.9021352149
269	0.9000787075
270	0.8956720138
271	0.8937089029
272	0.8912255289
273	0.8870599697
274	0.8851882867
275	0.8829743673
276	0.8791272485
277	0.8746104428
278	0.8726133968
279	0.8682346038
280	0.8630301484
281	0.8582777183
282	0.8566102573
283	0.8543127413
284	0.8506153393
285	0.8486174216
286	0.8453028148
287	0.841965055
288	0.8384109078
289	0.8329034229
290	0.830606716
291	0.827660355
292	0.8247407169
293	0.8219672879
294	0.8196902109
295	0.8180233833
296	0.8153737684
297	0.8135723538
298	0.8108033794
299	0.8092259198
300	0.8058154647
301	0.8038682623
302	0.8024010225
303	0.8001741172
304	0.7986890555
305	0.7955238623
306	0.794112217
307	0.7926192756
308	0.790587317
309	0.7890816535
310	0.7877638202
311	0.7856625084
312	0.7833696741
313	0.7807574427
314	0.7796845529
315	0.7774483244
316	0.7743618001
317	0.770450477
318	0.7686107022
319	0.7649678703
320	0.7623594608
321	0.7609708833
322	0.7600309421
323	0.7590252421
324	0.7561728258
325	0.7546376292
326	0.7521420687
327	0.7500742969
328	0.7487144567
329	0.7468226807
330	0.7455396991
331	0.7426927552
332	0.7413603522
333	0.7392162991
334	0.7380726265
335	0.7361296098
336	0.7334487206
337	0.7320838782
338	0.7309892394
339	0.7298902638
340	0.7284856227
341	0.7268427655
342	0.7257433243
343	0.7248144079
344	0.7222135639
345	0.7207249263
346	0.719216134
347	0.7175501569
348	0.7161370541
349	0.714960753
350	0.7130077466
351	0.7113404418
352	0.7090333856
353	0.707652848
354	0.7069504269
355	0.7058375932
356	0.7049273748
357	0.7029287458
358	0.701851236
359	0.7011952222
360	0.7002692563
361	0.6975444572
362	0.6962221287
363	0.6938982365
364	0.691717811
365	0.6904920712
366	0.6881532714
367	0.6866849105
368	0.6860018974
369	0.6842730019
370	0.6829925947
371	0.6817752378
372	0.6812716668
373	0.6794751497
374	0.6780231685
375	0.6768832054
376	0.6752185107
377	0.6739048525
378	0.6731116484
379	0.6720528907
380	0.6697327748
381	0.668331112
382	0.6661569247
383	0.6629129643
384	0.6616061798
385	0.6599304337
386	0.6588639938
387	0.6579961838
388	0.6571614022
389	0.6563338838
390	0.6548375353
391	0.6534168113
392	0.6525913655
393	0.6500470411
394	0.6480795795
395	0.6472526047
396	0.6449093814
397	0.6436884269
398	0.6418986104
399	0.6405390803
400	0.6398724672
401	0.6393207167
402	0.638551363
403	0.6375651562
404	0.6349881166
405	0.6344415352
406	0.6335976246
407	0.6320762743
408	0.6303536756
409	0.6296277907
410	0.6269055653
411	0.625156117
412	0.6247232899
413	0.6232932241
414	0.6221993574
415	0.6203336596
416	0.6195935265
417	0.6189682023
418	0.6184385835
419	0.6170353951
420	0.6157659745
421	0.6151710491
422	0.6126656521
423	0.6113323198
424	0.6103174429
425	0.6095387469
426	0.6082025041
427	0.6068762296
428	0.6053735527
429	0.6044528312
430	0.6036513441
431	0.60291525
432	0.6011897471
433	0.5992830369
434	0.5987913927
435	0.597499119
436	0.596356739
437	0.5953312602
438	0.5930208358
439	0.5925951066
440	0.5920133531
441	0.5908215281
442	0.5904492086
443	0.5889686131
444	0.5869853314
445	0.5863072341
446	0.5845002615
447	0.5830981268
448	0.5806963387
449	0.5802595667
450	0.5797895802
451	0.5779697209
452	0.5764024448
453	0.5751524871
454	0.5740632194
455	0.5719238384
456	0.569821929
457	0.5690349125
458	0.5672369507
459	0.5663577886
460	0.5660858782
461	0.5655033542
462	0.5647933961
463	0.563791312
464	0.5630657005
465	0.5622331468
466	0.5616690914
467	0.5610131038
468	0.5604819706
469	0.5599024639
470	0.5588965769
471	0.5578623407
472	0.5560082659
473	0.554270744
474	0.5529460021
475	0.552114848
476	0.5515760148
477	0.5509461001
478	0.5504357975
479	0.5498387351
480	0.5486474682
481	0.5481227378
482	0.546311287
483	0.5452746686
484	0.5446575788
485	0.544305603
486	0.5433175473
487	0.5414949297
488	0.5410543739
489	0.5394299859
490	0.538556774
491	0.5378859158
492	0.5366791837
493	0.5360950939
494	0.5354483409
495	0.5348201611
496	0.5332622676
497	0.5325152623
498	0.5318701138
499	0.5308481411
