iter	Passed	Remaining
0	52	26343
1	53	13246
2	53	8875
3	53	6695
4	54	5382
5	54	4515
6	55	3889
7	55	3420
8	56	3056
9	56	2764
10	56	2527
11	57	2328
12	57	2159
13	58	2017
14	58	1890
15	58	1781
16	59	1683
17	59	1596
18	59	1518
19	60	1449
20	60	1386
21	61	1328
22	61	1272
23	61	1224
24	62	1180
25	62	1140
26	62	1103
27	63	1067
28	63	1034
29	64	1004
30	64	974
31	64	948
32	65	923
33	65	899
34	66	877
35	66	856
36	66	835
37	67	816
38	67	798
39	67	781
40	68	765
41	68	749
42	69	734
43	69	720
44	69	706
45	70	693
46	70	681
47	71	669
48	71	657
49	71	646
50	72	635
51	72	624
52	72	614
53	73	605
54	73	595
55	74	586
56	74	578
57	74	569
58	75	561
59	75	553
60	75	545
61	76	538
62	76	530
63	76	524
64	77	517
65	77	510
66	78	504
67	78	498
68	79	496
69	79	490
70	80	485
71	80	479
72	81	474
73	81	468
74	81	463
75	82	458
76	82	453
77	82	448
78	83	444
79	83	439
80	84	434
81	84	430
82	84	426
83	85	422
84	85	418
85	86	414
86	86	410
87	86	406
88	87	403
89	87	399
90	88	395
91	88	392
92	88	388
93	89	385
94	89	381
95	90	378
96	90	375
97	90	372
98	91	369
99	91	366
100	91	363
101	92	360
102	92	357
103	93	354
104	93	351
105	93	349
106	94	346
107	94	343
108	95	341
109	95	338
110	95	335
111	96	333
112	96	330
113	97	328
114	97	326
115	97	323
116	98	321
117	98	319
118	99	317
119	99	314
120	99	312
121	100	310
122	100	308
123	100	305
124	101	304
125	101	302
126	102	299
127	102	297
128	102	295
129	103	293
130	103	292
131	104	290
132	104	288
133	104	286
134	105	284
135	105	282
136	106	281
137	106	279
138	106	277
139	107	275
140	107	273
141	107	272
142	108	270
143	108	268
144	109	267
145	109	265
146	109	263
147	110	262
148	110	261
149	111	259
150	111	257
151	112	256
152	112	255
153	112	253
154	113	252
155	122	269
156	139	305
157	141	306
158	143	307
159	145	308
160	145	307
161	146	305
162	146	303
163	147	301
164	148	300
165	149	300
166	150	299
167	151	299
168	153	300
169	154	299
170	155	298
171	155	296
172	155	294
173	156	293
174	156	291
175	157	289
176	157	287
177	158	286
178	158	284
179	158	282
180	159	280
181	159	278
182	159	277
183	160	275
184	160	273
185	161	271
186	161	270
187	161	268
188	162	266
189	162	265
190	162	263
191	163	261
192	163	260
193	164	258
194	164	257
195	165	255
196	165	254
197	165	252
198	166	251
199	166	249
200	166	248
201	167	246
202	167	245
203	168	243
204	168	242
205	168	240
206	169	239
207	169	238
208	169	236
209	170	235
210	170	233
211	171	232
212	171	231
213	171	229
214	172	228
215	172	226
216	172	225
217	173	224
218	173	222
219	173	221
220	174	220
221	174	218
222	175	217
223	175	216
224	175	215
225	176	213
226	176	212
227	177	211
228	177	210
229	178	208
230	178	207
231	178	206
232	179	205
233	179	204
234	180	203
235	180	201
236	180	200
237	181	199
238	181	198
239	182	197
240	182	196
241	183	195
242	183	193
243	183	192
244	184	191
245	184	190
246	185	189
247	185	188
248	186	187
249	186	186
250	186	185
251	187	184
252	187	183
253	188	182
254	188	181
255	189	180
256	189	179
257	189	178
258	190	177
259	190	175
260	191	174
261	191	173
262	191	172
263	192	171
264	192	170
265	192	169
266	193	168
267	193	167
268	194	166
269	194	165
270	194	164
271	195	163
272	195	162
273	196	161
274	196	160
275	196	159
276	197	158
277	197	157
278	198	156
279	198	155
280	198	155
281	199	154
282	199	153
283	200	152
284	200	151
285	200	150
286	201	149
287	202	148
288	202	148
289	203	147
290	203	146
291	203	145
292	204	144
293	204	143
294	205	142
295	205	141
296	205	140
297	206	139
298	206	138
299	207	138
300	207	137
301	207	136
302	208	135
303	208	134
304	208	133
305	209	132
306	209	131
307	210	131
308	210	130
309	210	129
310	211	128
311	211	127
312	212	126
313	212	125
314	212	124
315	213	124
316	213	123
317	214	122
318	214	121
319	214	120
320	215	120
321	215	119
322	215	118
323	216	117
324	216	116
325	217	115
326	217	115
327	217	114
328	218	113
329	218	112
330	219	111
331	219	111
332	220	110
333	220	109
334	220	108
335	221	107
336	221	107
337	221	106
338	222	105
339	222	104
340	223	103
341	223	103
342	223	102
343	224	101
344	224	100
345	224	100
346	225	99
347	225	98
348	226	97
349	226	97
350	226	96
351	227	95
352	227	94
353	227	94
354	228	93
355	228	92
356	229	91
357	229	90
358	229	90
359	230	89
360	230	88
361	230	88
362	231	87
363	231	86
364	232	85
365	232	85
366	232	84
367	233	83
368	233	82
369	234	82
370	234	81
371	234	80
372	235	80
373	235	79
374	236	78
375	236	78
376	236	77
377	237	76
378	237	75
379	238	75
380	239	74
381	239	73
382	240	73
383	240	72
384	240	71
385	241	71
386	241	70
387	242	69
388	242	69
389	242	68
390	243	67
391	243	67
392	244	66
393	244	65
394	245	65
395	245	64
396	245	63
397	246	63
398	246	62
399	247	61
400	247	61
401	248	60
402	248	59
403	248	59
404	249	58
405	249	57
406	250	57
407	250	56
408	251	55
409	251	55
410	252	54
411	252	53
412	253	53
413	253	52
414	254	52
415	254	51
416	254	50
417	255	50
418	255	49
419	256	48
420	256	48
421	256	47
422	257	46
423	257	46
424	258	45
425	258	44
426	259	44
427	259	43
428	260	43
429	260	42
430	261	41
431	261	41
432	262	40
433	262	39
434	263	39
435	263	38
436	264	38
437	264	37
438	264	36
439	265	36
440	265	35
441	266	34
442	266	34
443	267	33
444	267	33
445	267	32
446	268	31
447	269	31
448	269	30
449	269	29
450	270	29
451	270	28
452	271	28
453	271	27
454	271	26
455	272	26
456	272	25
457	273	25
458	273	24
459	274	23
460	274	23
461	275	22
462	275	22
463	276	21
464	276	20
465	276	20
466	277	19
467	277	18
468	278	18
469	278	17
470	278	17
471	279	16
472	279	15
473	280	15
474	280	14
475	280	14
476	281	13
477	281	12
478	282	12
479	282	11
480	282	11
481	283	10
482	283	9
483	283	9
484	284	8
485	284	8
486	285	7
487	285	7
488	285	6
489	286	5
490	286	5
491	286	4
492	287	4
493	287	3
494	288	2
495	288	2
496	288	1
497	289	1
498	289	0
499	289	0
